id,gaji,tanggungan,nilai,beasiswa
R1,sangat_sedikit,sedikit,B,banyak
R2,sangat_sedikit,sedikit,A,banyak
R3,sangat_sedikit,cukup,B,banyak
R4,sangat_sedikit,cukup,A,banyak
R5,sangat_sedikit,banyak,B,banyak
R6,sangat_sedikit,banyak,A,banyak
R7,sedikit,sedikit,B,cukup
R8,sedikit,sedikit,A,cukup
R9,sedikit,cukup,B,cukup
R10,sedikit,cukup,A,banyak
R11,sedikit,banyak,B,banyak
R12,sedikit,banyak,A,banyak
R13,cukup,sedikit,B,cukup
R14,cukup,sedikit,A,cukup
R15,cukup,cukup,B,cukup
R16,cukup,cukup,A,cukup
R17,cukup,banyak,B,cukup
R18,cukup,banyak,A,cukup
R19,banyak,sedikit,B,cukup
R20,banyak,sedikit,A,cukup
R21,banyak,cukup,B,cukup
R22,banyak,cukup,A,cukup
R23,banyak,banyak,B,cukup
R24,banyak,banyak,A,cukup
R25,sangat_banyak,sedikit,B,sedikit
R26,sangat_banyak,sedikit,A,sedikit
R27,sangat_banyak,cukup,B,sedikit
R28,sangat_banyak,cukup,A,sedikit
R29,sangat_banyak,banyak,B,sedikit
R30,sangat_banyak,banyak,A,sedikit
